case_id,worker_count,lock_mode,id,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,1,FOR UPDATE,32,noop,completed,2026-02-22T00:39:06.001817Z,2026-02-22T00:39:06.001817Z,2026-02-22T00:40:03.561375Z,2026-02-22T00:40:03.920648Z,,57559.558
2,1,FOR UPDATE,33,noop,completed,2026-02-22T00:39:06.00426Z,2026-02-22T00:39:06.00426Z,2026-02-22T00:40:03.92421Z,2026-02-22T00:40:04.280482Z,,57919.950
2,1,FOR UPDATE,34,noop,completed,2026-02-22T00:39:06.007199Z,2026-02-22T00:39:06.007199Z,2026-02-22T00:40:04.28754Z,2026-02-22T00:40:04.642881Z,,58280.341
2,1,FOR UPDATE,35,noop,completed,2026-02-22T00:39:06.010251Z,2026-02-22T00:39:06.010251Z,2026-02-22T00:40:04.645559Z,2026-02-22T00:40:04.999938Z,,58635.308
2,1,FOR UPDATE,36,noop,completed,2026-02-22T00:39:06.013102Z,2026-02-22T00:39:06.013102Z,2026-02-22T00:40:05.003057Z,2026-02-22T00:40:05.358758Z,,58989.955
2,1,FOR UPDATE,37,noop,completed,2026-02-22T00:39:06.018648Z,2026-02-22T00:39:06.018648Z,2026-02-22T00:40:05.362228Z,2026-02-22T00:40:05.718404Z,,59343.580
2,1,FOR UPDATE,38,noop,completed,2026-02-22T00:39:06.020716Z,2026-02-22T00:39:06.020716Z,2026-02-22T00:40:05.721923Z,2026-02-22T00:40:06.080887Z,,59701.207
2,1,FOR UPDATE,39,noop,completed,2026-02-22T00:39:06.022844Z,2026-02-22T00:39:06.022844Z,2026-02-22T00:40:06.08352Z,2026-02-22T00:40:06.438805Z,,60060.676
2,1,FOR UPDATE,40,noop,completed,2026-02-22T00:39:06.024982Z,2026-02-22T00:39:06.024982Z,2026-02-22T00:40:06.4416Z,2026-02-22T00:40:06.797615Z,,60416.618
2,1,FOR UPDATE,41,noop,completed,2026-02-22T00:39:06.027651Z,2026-02-22T00:39:06.027651Z,2026-02-22T00:40:06.801151Z,2026-02-22T00:40:07.155882Z,,60773.500
2,1,FOR UPDATE,42,noop,completed,2026-02-22T00:39:06.029976Z,2026-02-22T00:39:06.029976Z,2026-02-22T00:40:07.15897Z,2026-02-22T00:40:07.514961Z,,61128.994
2,1,FOR UPDATE,43,noop,completed,2026-02-22T00:39:06.032358Z,2026-02-22T00:39:06.032358Z,2026-02-22T00:40:07.518175Z,2026-02-22T00:40:07.874294Z,,61485.817
2,1,FOR UPDATE,44,noop,completed,2026-02-22T00:39:06.034647Z,2026-02-22T00:39:06.034647Z,2026-02-22T00:40:07.877758Z,2026-02-22T00:40:08.233068Z,,61843.111
2,1,FOR UPDATE,45,noop,completed,2026-02-22T00:39:06.037716Z,2026-02-22T00:39:06.037716Z,2026-02-22T00:40:08.239492Z,2026-02-22T00:40:08.595071Z,,62201.776
