case_id,worker_mode,label,polling_interval_ms,lottery,notify_winners,worker_count,dequeue_calls,dequeue_empty,id,payload_name,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
1,polling,polling_50ms,50,0,0,1,5622,4622,180001,job-0,noop,completed,2026-02-22T01:01:06.270033Z,2026-02-22T01:01:06.270033Z,2026-02-22T01:01:06.28153Z,2026-02-22T01:01:06.285446Z,,11.497
1,polling,polling_50ms,50,0,0,1,5622,4622,180002,job-1,noop,completed,2026-02-22T01:01:06.524206Z,2026-02-22T01:01:06.524206Z,2026-02-22T01:01:06.546764Z,2026-02-22T01:01:06.549888Z,,22.558
1,polling,polling_50ms,50,0,0,1,5622,4622,180003,job-2,noop,completed,2026-02-22T01:01:06.777307Z,2026-02-22T01:01:06.777307Z,2026-02-22T01:01:06.811333Z,2026-02-22T01:01:06.814912Z,,34.026
1,polling,polling_50ms,50,0,0,1,5622,4622,180004,job-3,noop,completed,2026-02-22T01:01:07.03057Z,2026-02-22T01:01:07.03057Z,2026-02-22T01:01:07.076982Z,2026-02-22T01:01:07.079886Z,,46.412
1,polling,polling_50ms,50,0,0,1,5622,4622,180005,job-4,noop,completed,2026-02-22T01:01:07.289711Z,2026-02-22T01:01:07.289711Z,2026-02-22T01:01:07.341885Z,2026-02-22T01:01:07.345303Z,,52.174
1,polling,polling_50ms,50,0,0,1,5622,4622,180006,job-5,noop,completed,2026-02-22T01:01:07.544109Z,2026-02-22T01:01:07.544109Z,2026-02-22T01:01:07.554601Z,2026-02-22T01:01:07.557891Z,,10.492
1,polling,polling_50ms,50,0,0,1,5622,4622,180007,job-6,noop,completed,2026-02-22T01:01:07.797601Z,2026-02-22T01:01:07.797601Z,2026-02-22T01:01:07.818674Z,2026-02-22T01:01:07.822414Z,,21.073
1,polling,polling_50ms,50,0,0,1,5622,4622,180008,job-7,noop,completed,2026-02-22T01:01:08.05132Z,2026-02-22T01:01:08.05132Z,2026-02-22T01:01:08.08338Z,2026-02-22T01:01:08.090406Z,,32.060
1,polling,polling_50ms,50,0,0,1,5622,4622,180009,job-8,noop,completed,2026-02-22T01:01:08.304943Z,2026-02-22T01:01:08.304943Z,2026-02-22T01:01:08.351378Z,2026-02-22T01:01:08.354223Z,,46.435
1,polling,polling_50ms,50,0,0,1,5622,4622,180010,job-9,noop,completed,2026-02-22T01:01:08.557671Z,2026-02-22T01:01:08.557671Z,2026-02-22T01:01:08.563294Z,2026-02-22T01:01:08.566521Z,,5.623
1,polling,polling_50ms,50,0,0,1,5622,4622,180011,job-10,noop,completed,2026-02-22T01:01:08.81109Z,2026-02-22T01:01:08.81109Z,2026-02-22T01:01:08.828484Z,2026-02-22T01:01:08.833576Z,,17.394
1,polling,polling_50ms,50,0,0,1,5622,4622,180012,job-11,noop,completed,2026-02-22T01:01:09.066262Z,2026-02-22T01:01:09.066262Z,2026-02-22T01:01:09.108043Z,2026-02-22T01:01:09.112478Z,,41.781
1,polling,polling_50ms,50,0,0,1,5622,4622,180013,job-12,noop,completed,2026-02-22T01:01:09.320935Z,2026-02-22T01:01:09.320935Z,2026-02-22T01:01:09.329441Z,2026-02-22T01:01:09.334571Z,,8.506
1,polling,polling_50ms,50,0,0,1,5622,4622,180014,job-13,noop,completed,2026-02-22T01:01:09.575555Z,2026-02-22T01:01:09.575555Z,2026-02-22T01:01:09.604923Z,2026-02-22T01:01:09.610429Z,,29.368
1,polling,polling_50ms,50,0,0,1,5622,4622,180015,job-14,noop,completed,2026-02-22T01:01:09.82921Z,2026-02-22T01:01:09.82921Z,2026-02-22T01:01:09.880212Z,2026-02-22T01:01:09.887194Z,,51.002
1,polling,polling_50ms,50,0,0,1,5622,4622,180016,job-15,noop,completed,2026-02-22T01:01:10.082679Z,2026-02-22T01:01:10.082679Z,2026-02-22T01:01:10.096723Z,2026-02-22T01:01:10.099538Z,,14.044
1,polling,polling_50ms,50,0,0,1,5622,4622,180017,job-16,noop,completed,2026-02-22T01:01:10.336003Z,2026-02-22T01:01:10.336003Z,2026-02-22T01:01:10.360428Z,2026-02-22T01:01:10.363616Z,,24.425
1,polling,polling_50ms,50,0,0,1,5622,4622,180018,job-17,noop,completed,2026-02-22T01:01:10.589384Z,2026-02-22T01:01:10.589384Z,2026-02-22T01:01:10.624428Z,2026-02-22T01:01:10.628038Z,,35.044
1,polling,polling_50ms,50,0,0,1,5622,4622,180019,job-18,noop,completed,2026-02-22T01:01:10.843575Z,2026-02-22T01:01:10.843575Z,2026-02-22T01:01:10.889453Z,2026-02-22T01:01:10.896194Z,,45.878
1,polling,polling_50ms,50,0,0,1,5622,4622,180020,job-19,noop,completed,2026-02-22T01:01:11.097338Z,2026-02-22T01:01:11.097338Z,2026-02-22T01:01:11.105393Z,2026-02-22T01:01:11.108709Z,,8.055
1,polling,polling_50ms,50,0,0,1,5622,4622,180021,job-20,noop,completed,2026-02-22T01:01:11.350208Z,2026-02-22T01:01:11.350208Z,2026-02-22T01:01:11.369725Z,2026-02-22T01:01:11.373008Z,,19.517
1,polling,polling_50ms,50,0,0,1,5622,4622,180022,job-21,noop,completed,2026-02-22T01:01:11.603809Z,2026-02-22T01:01:11.603809Z,2026-02-22T01:01:11.634833Z,2026-02-22T01:01:11.638542Z,,31.024
1,polling,polling_50ms,50,0,0,1,5622,4622,180023,job-22,noop,completed,2026-02-22T01:01:11.857652Z,2026-02-22T01:01:11.857652Z,2026-02-22T01:01:11.903811Z,2026-02-22T01:01:11.906711Z,,46.159
1,polling,polling_50ms,50,0,0,1,5622,4622,180024,job-23,noop,completed,2026-02-22T01:01:12.110837Z,2026-02-22T01:01:12.110837Z,2026-02-22T01:01:12.115239Z,2026-02-22T01:01:12.118331Z,,4.402
1,polling,polling_50ms,50,0,0,1,5622,4622,180025,job-24,noop,completed,2026-02-22T01:01:12.364534Z,2026-02-22T01:01:12.364534Z,2026-02-22T01:01:12.37934Z,2026-02-22T01:01:12.382915Z,,14.806
1,polling,polling_50ms,50,0,0,1,5622,4622,180026,job-25,noop,completed,2026-02-22T01:01:12.619998Z,2026-02-22T01:01:12.619998Z,2026-02-22T01:01:12.648182Z,2026-02-22T01:01:12.651215Z,,28.184
1,polling,polling_50ms,50,0,0,1,5622,4622,180027,job-26,noop,completed,2026-02-22T01:01:12.872886Z,2026-02-22T01:01:12.872886Z,2026-02-22T01:01:12.913212Z,2026-02-22T01:01:12.916302Z,,40.326
1,polling,polling_50ms,50,0,0,1,5622,4622,180028,job-27,noop,completed,2026-02-22T01:01:13.126087Z,2026-02-22T01:01:13.126087Z,2026-02-22T01:01:13.177414Z,2026-02-22T01:01:13.181062Z,,51.327
1,polling,polling_50ms,50,0,0,1,5622,4622,180029,job-28,noop,completed,2026-02-22T01:01:13.379978Z,2026-02-22T01:01:13.379978Z,2026-02-22T01:01:13.390988Z,2026-02-22T01:01:13.397997Z,,11.010
1,polling,polling_50ms,50,0,0,1,5622,4622,180030,job-29,noop,completed,2026-02-22T01:01:13.633614Z,2026-02-22T01:01:13.633614Z,2026-02-22T01:01:13.658748Z,2026-02-22T01:01:13.661968Z,,25.134
1,polling,polling_50ms,50,0,0,1,5622,4622,180031,job-30,noop,completed,2026-02-22T01:01:13.88615Z,2026-02-22T01:01:13.88615Z,2026-02-22T01:01:13.92348Z,2026-02-22T01:01:13.926634Z,,37.330
1,polling,polling_50ms,50,0,0,1,5622,4622,180032,job-31,noop,completed,2026-02-22T01:01:14.13906Z,2026-02-22T01:01:14.13906Z,2026-02-22T01:01:14.187918Z,2026-02-22T01:01:14.19151Z,,48.858
1,polling,polling_50ms,50,0,0,1,5622,4622,180033,job-32,noop,completed,2026-02-22T01:01:14.39235Z,2026-02-22T01:01:14.39235Z,2026-02-22T01:01:14.401416Z,2026-02-22T01:01:14.404043Z,,9.066
1,polling,polling_50ms,50,0,0,1,5622,4622,180034,job-33,noop,completed,2026-02-22T01:01:14.649231Z,2026-02-22T01:01:14.649231Z,2026-02-22T01:01:14.665321Z,2026-02-22T01:01:14.669367Z,,16.090
1,polling,polling_50ms,50,0,0,1,5622,4622,180035,job-34,noop,completed,2026-02-22T01:01:14.90403Z,2026-02-22T01:01:14.90403Z,2026-02-22T01:01:14.937763Z,2026-02-22T01:01:14.942883Z,,33.733
1,polling,polling_50ms,50,0,0,1,5622,4622,180036,job-35,noop,completed,2026-02-22T01:01:15.161006Z,2026-02-22T01:01:15.161006Z,2026-02-22T01:01:15.214268Z,2026-02-22T01:01:15.219771Z,,53.262
1,polling,polling_50ms,50,0,0,1,5622,4622,180037,job-36,noop,completed,2026-02-22T01:01:15.416058Z,2026-02-22T01:01:15.416058Z,2026-02-22T01:01:15.440743Z,2026-02-22T01:01:15.445505Z,,24.685
1,polling,polling_50ms,50,0,0,1,5622,4622,180038,job-37,noop,completed,2026-02-22T01:01:15.669674Z,2026-02-22T01:01:15.669674Z,2026-02-22T01:01:15.719132Z,2026-02-22T01:01:15.72756Z,,49.458
1,polling,polling_50ms,50,0,0,1,5622,4622,180039,job-38,noop,completed,2026-02-22T01:01:15.924116Z,2026-02-22T01:01:15.924116Z,2026-02-22T01:01:15.947238Z,2026-02-22T01:01:15.95318Z,,23.122
1,polling,polling_50ms,50,0,0,1,5622,4622,180040,job-39,noop,completed,2026-02-22T01:01:16.17925Z,2026-02-22T01:01:16.17925Z,2026-02-22T01:01:16.225713Z,2026-02-22T01:01:16.230142Z,,46.463
1,polling,polling_50ms,50,0,0,1,5622,4622,180041,job-40,noop,completed,2026-02-22T01:01:16.43779Z,2026-02-22T01:01:16.43779Z,2026-02-22T01:01:16.447235Z,2026-02-22T01:01:16.453309Z,,9.445
1,polling,polling_50ms,50,0,0,1,5622,4622,180042,job-41,noop,completed,2026-02-22T01:01:16.692148Z,2026-02-22T01:01:16.692148Z,2026-02-22T01:01:16.723387Z,2026-02-22T01:01:16.728465Z,,31.239
1,polling,polling_50ms,50,0,0,1,5622,4622,180043,job-42,noop,completed,2026-02-22T01:01:16.947046Z,2026-02-22T01:01:16.947046Z,2026-02-22T01:01:17.000501Z,2026-02-22T01:01:17.006455Z,,53.455
1,polling,polling_50ms,50,0,0,1,5622,4622,180044,job-43,noop,completed,2026-02-22T01:01:17.202745Z,2026-02-22T01:01:17.202745Z,2026-02-22T01:01:17.225263Z,2026-02-22T01:01:17.230264Z,,22.518
1,polling,polling_50ms,50,0,0,1,5622,4622,180045,job-44,noop,completed,2026-02-22T01:01:17.461606Z,2026-02-22T01:01:17.461606Z,2026-02-22T01:01:17.501292Z,2026-02-22T01:01:17.506394Z,,39.686
1,polling,polling_50ms,50,0,0,1,5622,4622,180046,job-45,noop,completed,2026-02-22T01:01:17.716034Z,2026-02-22T01:01:17.716034Z,2026-02-22T01:01:17.724393Z,2026-02-22T01:01:17.729829Z,,8.359
1,polling,polling_50ms,50,0,0,1,5622,4622,180047,job-46,noop,completed,2026-02-22T01:01:17.973973Z,2026-02-22T01:01:17.973973Z,2026-02-22T01:01:18.000075Z,2026-02-22T01:01:18.005493Z,,26.102
1,polling,polling_50ms,50,0,0,1,5622,4622,180048,job-47,noop,completed,2026-02-22T01:01:18.227962Z,2026-02-22T01:01:18.227962Z,2026-02-22T01:01:18.276269Z,2026-02-22T01:01:18.281589Z,,48.307
1,polling,polling_50ms,50,0,0,1,5622,4622,180049,job-48,noop,completed,2026-02-22T01:01:18.481789Z,2026-02-22T01:01:18.481789Z,2026-02-22T01:01:18.498993Z,2026-02-22T01:01:18.507853Z,,17.204
1,polling,polling_50ms,50,0,0,1,5622,4622,180050,job-49,noop,completed,2026-02-22T01:01:18.737483Z,2026-02-22T01:01:18.737483Z,2026-02-22T01:01:18.778353Z,2026-02-22T01:01:18.782596Z,,40.870
1,polling,polling_50ms,50,0,0,1,5622,4622,180051,job-50,noop,completed,2026-02-22T01:01:18.990947Z,2026-02-22T01:01:18.990947Z,2026-02-22T01:01:19.00068Z,2026-02-22T01:01:19.005802Z,,9.733
1,polling,polling_50ms,50,0,0,1,5622,4622,180052,job-51,noop,completed,2026-02-22T01:01:19.245977Z,2026-02-22T01:01:19.245977Z,2026-02-22T01:01:19.277382Z,2026-02-22T01:01:19.282549Z,,31.405
1,polling,polling_50ms,50,0,0,1,5622,4622,180053,job-52,noop,completed,2026-02-22T01:01:19.502191Z,2026-02-22T01:01:19.502191Z,2026-02-22T01:01:19.557029Z,2026-02-22T01:01:19.565921Z,,54.838
1,polling,polling_50ms,50,0,0,1,5622,4622,180054,job-53,noop,completed,2026-02-22T01:01:19.757642Z,2026-02-22T01:01:19.757642Z,2026-02-22T01:01:19.784222Z,2026-02-22T01:01:19.788816Z,,26.580
1,polling,polling_50ms,50,0,0,1,5622,4622,180055,job-54,noop,completed,2026-02-22T01:01:20.011613Z,2026-02-22T01:01:20.011613Z,2026-02-22T01:01:20.05909Z,2026-02-22T01:01:20.064686Z,,47.477
1,polling,polling_50ms,50,0,0,1,5622,4622,180056,job-55,noop,completed,2026-02-22T01:01:20.266157Z,2026-02-22T01:01:20.266157Z,2026-02-22T01:01:20.28317Z,2026-02-22T01:01:20.288173Z,,17.013
1,polling,polling_50ms,50,0,0,1,5622,4622,180057,job-56,noop,completed,2026-02-22T01:01:20.521014Z,2026-02-22T01:01:20.521014Z,2026-02-22T01:01:20.562113Z,2026-02-22T01:01:20.566464Z,,41.099
1,polling,polling_50ms,50,0,0,1,5622,4622,180058,job-57,noop,completed,2026-02-22T01:01:20.775798Z,2026-02-22T01:01:20.775798Z,2026-02-22T01:01:20.783168Z,2026-02-22T01:01:20.787867Z,,7.370
1,polling,polling_50ms,50,0,0,1,5622,4622,180059,job-58,noop,completed,2026-02-22T01:01:21.030289Z,2026-02-22T01:01:21.030289Z,2026-02-22T01:01:21.058925Z,2026-02-22T01:01:21.064567Z,,28.636
1,polling,polling_50ms,50,0,0,1,5622,4622,180060,job-59,noop,completed,2026-02-22T01:01:21.28538Z,2026-02-22T01:01:21.28538Z,2026-02-22T01:01:21.335697Z,2026-02-22T01:01:21.340132Z,,50.317
1,polling,polling_50ms,50,0,0,1,5622,4622,180061,job-60,noop,completed,2026-02-22T01:01:21.543376Z,2026-02-22T01:01:21.543376Z,2026-02-22T01:01:21.557572Z,2026-02-22T01:01:21.563121Z,,14.196
1,polling,polling_50ms,50,0,0,1,5622,4622,180062,job-61,noop,completed,2026-02-22T01:01:21.797178Z,2026-02-22T01:01:21.797178Z,2026-02-22T01:01:21.834741Z,2026-02-22T01:01:21.839793Z,,37.563
1,polling,polling_50ms,50,0,0,1,5622,4622,180063,job-62,noop,completed,2026-02-22T01:01:22.051851Z,2026-02-22T01:01:22.051851Z,2026-02-22T01:01:22.058836Z,2026-02-22T01:01:22.064159Z,,6.985
1,polling,polling_50ms,50,0,0,1,5622,4622,180064,job-63,noop,completed,2026-02-22T01:01:22.306819Z,2026-02-22T01:01:22.306819Z,2026-02-22T01:01:22.336316Z,2026-02-22T01:01:22.340556Z,,29.497
1,polling,polling_50ms,50,0,0,1,5622,4622,180065,job-64,noop,completed,2026-02-22T01:01:22.565699Z,2026-02-22T01:01:22.565699Z,2026-02-22T01:01:22.610361Z,2026-02-22T01:01:22.615071Z,,44.662
1,polling,polling_50ms,50,0,0,1,5622,4622,180066,job-65,noop,completed,2026-02-22T01:01:22.820341Z,2026-02-22T01:01:22.820341Z,2026-02-22T01:01:22.832764Z,2026-02-22T01:01:22.838377Z,,12.423
1,polling,polling_50ms,50,0,0,1,5622,4622,180067,job-66,noop,completed,2026-02-22T01:01:23.076042Z,2026-02-22T01:01:23.076042Z,2026-02-22T01:01:23.111082Z,2026-02-22T01:01:23.115398Z,,35.040
1,polling,polling_50ms,50,0,0,1,5622,4622,180068,job-67,noop,completed,2026-02-22T01:01:23.333651Z,2026-02-22T01:01:23.333651Z,2026-02-22T01:01:23.385459Z,2026-02-22T01:01:23.390225Z,,51.808
1,polling,polling_50ms,50,0,0,1,5622,4622,180069,job-68,noop,completed,2026-02-22T01:01:23.587929Z,2026-02-22T01:01:23.587929Z,2026-02-22T01:01:23.607318Z,2026-02-22T01:01:23.613233Z,,19.389
1,polling,polling_50ms,50,0,0,1,5622,4622,180070,job-69,noop,completed,2026-02-22T01:01:23.842822Z,2026-02-22T01:01:23.842822Z,2026-02-22T01:01:23.884217Z,2026-02-22T01:01:23.892735Z,,41.395
1,polling,polling_50ms,50,0,0,1,5622,4622,180071,job-70,noop,completed,2026-02-22T01:01:24.098737Z,2026-02-22T01:01:24.098737Z,2026-02-22T01:01:24.108993Z,2026-02-22T01:01:24.113465Z,,10.256
1,polling,polling_50ms,50,0,0,1,5622,4622,180072,job-71,noop,completed,2026-02-22T01:01:24.352803Z,2026-02-22T01:01:24.352803Z,2026-02-22T01:01:24.385228Z,2026-02-22T01:01:24.389519Z,,32.425
1,polling,polling_50ms,50,0,0,1,5622,4622,180073,job-72,noop,completed,2026-02-22T01:01:24.608285Z,2026-02-22T01:01:24.608285Z,2026-02-22T01:01:24.660951Z,2026-02-22T01:01:24.666818Z,,52.666
1,polling,polling_50ms,50,0,0,1,5622,4622,180074,job-73,noop,completed,2026-02-22T01:01:24.863767Z,2026-02-22T01:01:24.863767Z,2026-02-22T01:01:24.886271Z,2026-02-22T01:01:24.890679Z,,22.504
1,polling,polling_50ms,50,0,0,1,5622,4622,180075,job-74,noop,completed,2026-02-22T01:01:25.121663Z,2026-02-22T01:01:25.121663Z,2026-02-22T01:01:25.162515Z,2026-02-22T01:01:25.167743Z,,40.852
1,polling,polling_50ms,50,0,0,1,5622,4622,180076,job-75,noop,completed,2026-02-22T01:01:25.376007Z,2026-02-22T01:01:25.376007Z,2026-02-22T01:01:25.384645Z,2026-02-22T01:01:25.389843Z,,8.638
1,polling,polling_50ms,50,0,0,1,5622,4622,180077,job-76,noop,completed,2026-02-22T01:01:25.630626Z,2026-02-22T01:01:25.630626Z,2026-02-22T01:01:25.6615Z,2026-02-22T01:01:25.671596Z,,30.874
1,polling,polling_50ms,50,0,0,1,5622,4622,180078,job-77,noop,completed,2026-02-22T01:01:25.885938Z,2026-02-22T01:01:25.885938Z,2026-02-22T01:01:25.890144Z,2026-02-22T01:01:25.8944Z,,4.206
1,polling,polling_50ms,50,0,0,1,5622,4622,180079,job-78,noop,completed,2026-02-22T01:01:26.139933Z,2026-02-22T01:01:26.139933Z,2026-02-22T01:01:26.164689Z,2026-02-22T01:01:26.169446Z,,24.756
1,polling,polling_50ms,50,0,0,1,5622,4622,180080,job-79,noop,completed,2026-02-22T01:01:26.394893Z,2026-02-22T01:01:26.394893Z,2026-02-22T01:01:26.44122Z,2026-02-22T01:01:26.446621Z,,46.327
1,polling,polling_50ms,50,0,0,1,5622,4622,180081,job-80,noop,completed,2026-02-22T01:01:26.650417Z,2026-02-22T01:01:26.650417Z,2026-02-22T01:01:26.66582Z,2026-02-22T01:01:26.670951Z,,15.403
