case_id,worker_count,lock_mode,timestamp,timestamp_ms,workers_idle,workers_fetching,workers_processing
2,1,FOR UPDATE,2026-02-22T00:39:52.407493559Z,1771720792407,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:52.507585441Z,1771720792507,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:52.607871893Z,1771720792607,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:52.709004463Z,1771720792709,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:52.809999295Z,1771720792809,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:52.91028784Z,1771720792910,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.010590348Z,1771720793010,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.111317609Z,1771720793111,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:53.212358903Z,1771720793212,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.312664466Z,1771720793312,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.412929937Z,1771720793412,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:53.513969046Z,1771720793513,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:53.614838565Z,1771720793614,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.715300792Z,1771720793715,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:53.81616307Z,1771720793816,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:53.917005311Z,1771720793917,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.017334893Z,1771720794017,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.117634067Z,1771720794117,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.218461938Z,1771720794218,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:54.319372252Z,1771720794319,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.419729055Z,1771720794419,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.519802992Z,1771720794519,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:54.620537105Z,1771720794620,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.720784076Z,1771720794720,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.821102899Z,1771720794821,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:54.922235525Z,1771720794922,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:55.023081321Z,1771720795023,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.123404143Z,1771720795123,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.223703577Z,1771720795223,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.324426857Z,1771720795324,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:55.425466132Z,1771720795425,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.525753029Z,1771720795525,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.626840081Z,1771720795626,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:55.72700172Z,1771720795727,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.827295654Z,1771720795827,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:55.927593069Z,1771720795927,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.028016242Z,1771720796028,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:56.128658819Z,1771720796128,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.22896503Z,1771720796228,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.329798623Z,1771720796329,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.430193166Z,1771720796430,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:56.53053571Z,1771720796530,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.630939735Z,1771720796630,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.731050783Z,1771720796731,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:56.831393179Z,1771720796831,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:56.931659076Z,1771720796931,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.031919399Z,1771720797031,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.132725103Z,1771720797132,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:57.233504585Z,1771720797233,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.333770519Z,1771720797333,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.43426658Z,1771720797434,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:57.53528567Z,1771720797535,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.635453494Z,1771720797635,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.735658059Z,1771720797735,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:57.836392134Z,1771720797836,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:57.937435595Z,1771720797937,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.037660992Z,1771720798037,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.13829931Z,1771720798138,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.238373617Z,1771720798238,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:58.33891988Z,1771720798338,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.439181203Z,1771720798439,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.540261718Z,1771720798540,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:58.640820834Z,1771720798640,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.741056342Z,1771720798741,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.841334831Z,1771720798841,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:58.941620487Z,1771720798941,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:59.042602208Z,1771720799042,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.142834049Z,1771720799142,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.243596791Z,1771720799243,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:59.344465865Z,1771720799344,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.444735262Z,1771720799444,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.544954196Z,1771720799544,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.645644309Z,1771720799645,0,1,0
2,1,FOR UPDATE,2026-02-22T00:39:59.746702603Z,1771720799746,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.846960796Z,1771720799846,0,0,1
2,1,FOR UPDATE,2026-02-22T00:39:59.947367265Z,1771720799947,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:00.048346115Z,1771720800048,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.148535013Z,1771720800148,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.248737188Z,1771720800248,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.349126398Z,1771720800349,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:00.449901529Z,1771720800449,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.550110723Z,1771720800550,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.650308954Z,1771720800650,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.750438852Z,1771720800750,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:00.850775563Z,1771720800850,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:00.950996053Z,1771720800950,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.051206173Z,1771720801051,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:01.151662104Z,1771720801151,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.251877576Z,1771720801251,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.352137528Z,1771720801352,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.453069231Z,1771720801453,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:01.553508606Z,1771720801553,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.653771151Z,1771720801653,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.754631966Z,1771720801754,0,1,0
2,1,FOR UPDATE,2026-02-22T00:40:01.854707032Z,1771720801854,0,0,1
2,1,FOR UPDATE,2026-02-22T00:40:01.954995132Z,1771720801954,0,0,1
